Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
84;Auvergne-Rhône-Alpes;1;4;3;81;Champfromier;729;15;744
84;Auvergne-Rhône-Alpes;1;4;3;82;Chanay;633;14;647
84;Auvergne-Rhône-Alpes;1;2;22;83;Chaneins;898;15;913
84;Auvergne-Rhône-Alpes;1;2;23;84;Chanoz-Châtenay;833;18;851
84;Auvergne-Rhône-Alpes;1;2;8;85;La Chapelle-du-Châtelard;387;5;392
84;Auvergne-Rhône-Alpes;1;4;14;87;Charix;285;10;295
84;Auvergne-Rhône-Alpes;1;1;11;88;Charnoz-sur-Ain;923;28;951
84;Auvergne-Rhône-Alpes;1;1;1;89;Château-Gaillard;2 080;58;2 138
84;Auvergne-Rhône-Alpes;1;2;7;90;Châtenay;333;9;342
84;Auvergne-Rhône-Alpes;1;4;3;91;Châtillon-en-Michaille;3 586;70;3 656
84;Auvergne-Rhône-Alpes;1;2;7;92;Châtillon-la-Palud;1 574;75;1 649
84;Auvergne-Rhône-Alpes;1;2;8;93;Châtillon-sur-Chalaronne;4 886;209;5 095
84;Auvergne-Rhône-Alpes;1;2;17;94;Chavannes-sur-Reyssouze;750;14;764
84;Auvergne-Rhône-Alpes;1;2;23;96;Chaveyriat;1 006;30;1 036
84;Auvergne-Rhône-Alpes;1;1;10;97;Chavornay;222;8;230
84;Auvergne-Rhône-Alpes;1;1;4;98;Chazey-Bons;1 079;34;1 113
84;Auvergne-Rhône-Alpes;1;1;11;99;Chazey-sur-Ain;1 513;36;1 549
84;Auvergne-Rhône-Alpes;1;1;4;100;Cheignieu-la-Balme;136;6;142
84;Auvergne-Rhône-Alpes;1;4;10;101;Chevillard;153;9;162
84;Auvergne-Rhône-Alpes;1;2;17;102;Chevroux;957;17;974
84;Auvergne-Rhône-Alpes;1;3;20;103;Chevry;1 643;57;1 700
84;Auvergne-Rhône-Alpes;1;3;20;104;Chézery-Forens;460;11;471
84;Auvergne-Rhône-Alpes;1;2;22;105;Civrieux;1 606;78;1 684
